Name;Team;Cl;Position;G;Solo Tack;Asst Tack;TT;FF;Int;Int Ret Yds;Int Ret TDs;Rejected/Blocked;Targeted;Rank;Solo Sack;Asst Sack;Sack Yds;Tot Sack
Andre Carter II;Army West Point;Jr.;LB;13;;;;4.0;;;;;;;;;;
Cam Goode;UCF;Jr.;DL;13;;;;4.0;;;;;;;;;;
D'Anthony Jones;Houston;Jr.;DL;13;;;;4.0;;;;;;;;;;
Alonzo McCoy;Central Mich.;Sr.;DB;13;;;;4.0;;;;;;;;;;
Vince Sanford;Air Force;Jr.;LB;13;;;;4.0;;;;;;;;;;
Sam Williams;Ole Miss;Sr.;DL;13;;;;4.0;;;;;;;;;;
DeAngelo Malone;Western Ky.;Sr.;DE;14;;;;4.0;;;;;;;;;;
Malcolm Rodriguez;Oklahoma St.;Sr.;LB;14;;;;4.0;;;;;;;;;;
Jack Jones;Arizona St.;Sr.;DB;11;;;;3.0;;;;;;;;;;
Teagan Wilk;East Carolina;Fr.;S;11;;;;3.0;;;;;;;;;;
Turner Coxe;SMU;Sr.;DE;12;;;;3.0;;;;;;;;;;
Jordan Domineck;Georgia Tech;So.;DL;12;;;;3.0;;;;;;;;;;
Viliami Fehoko;San Jose St.;Jr.;DL;12;;;;3.0;;;;;;;;;;
Gerrell Johnson;Massachusetts;Fr.;LB;12;;;;3.0;;;;;;;;;;
George Karlaftis;Purdue;Jr.;DE;12;;;;3.0;;;;;;;;;;
Jackson Mitchell;UConn;Jr.;LB;12;;;;3.0;;;;;;;;;;
R.J. Oben;Duke;So.;DL;12;;;;3.0;;;;;;;;;;
Chris Ojoh;New Mexico St.;Jr.;LB;12;;;;3.0;;;;;;;;;;
Luke Reimer;Nebraska;So.;LB;12;;;;3.0;;;;;;;;;;
Isaiah Thomas;Oklahoma;Sr.;DL;12;;;;3.0;;;;;;;;;;
Ji'Ayir Brown;Penn St.;Sr.;S;13;;;;;6.0;112.0;1.0;;;;;;;
Brandon Sebastian;Boston College;Sr.;CB;9;;;;;4.0;0.0;0.0;;;;;;;
Verone McKinley III;Oregon;So.;DB;14;;;;;6.0;-1.0;0.0;;;;;;;
JT Woods;Baylor;Sr.;S;14;;;;;6.0;109.0;1.0;;;;;;;
Kerby Joseph;Illinois;Jr.;DB;12;;;;;5.0;12.0;0.0;;;;;;;
Ja'Quan McMillian;East Carolina;So.;CB;12;;;;;5.0;42.0;1.0;;;;;;;
Darrell Luter Jr.;South Alabama;Jr.;CB;10;;;;;4.0;29.0;0.0;;;;;;;
Khoury Bethley;Hawaii;Sr.;DB;13;;;;;5.0;120.0;1.0;;;;;;;
Montaric Brown;Arkansas;Sr.;DB;13;;;;;5.0;0.0;0.0;;;;;;;
Jaylan Foster;South Carolina;Sr.;DB;13;;;;;5.0;39.0;0.0;;;;;;;
Marcus Jones;Houston;Sr.;CB;13;;;;;5.0;2.0;0.0;;;;;;;
Antavious Lane;Georgia St.;So.;DB;13;;;;;5.0;73.0;1.0;;;;;;;
Riley Moss;Iowa;Sr.;DB;11;;;;;4.0;85.0;2.0;;;;;;;
Jermaine Waller;Virginia Tech;Jr.;DB;11;;;;;4.0;67.0;1.0;;;;;;;
Dane Belton;Iowa;Jr.;DB;14;;;;;5.0;0.0;0.0;;;;;;;
Steven Jones;App State;Sr.;DB;14;;;;;5.0;97.0;3.0;;;;;;;
Macon Clark;Tulane;Jr.;S;12;;;;;4.0;78.0;0.0;;;;;;;
Daiyan Henley;Nevada;Sr.;LB;12;;;;;4.0;59.0;1.0;;;;;;;
TieNeal Martin;Tulsa;Sr.;DB;12;;;;;4.0;0.0;0.0;;;;;;;
Jammie Robinson;Florida St.;So.;DB;12;;;;;4.0;77.0;0.0;;;;;;;
Warren Saba;East Carolina;Sr.;S;12;;;;;4.0;31.0;0.0;;;;;;;
Naeem Smith;Rice;Sr.;S;12;;;;;4.0;22.0;0.0;;;;;;;
Cam Allen;Purdue;Jr.;S;13;;;;;4.0;31.0;0.0;;;;;;;
Jaylon Carlies;Missouri;So.;DB;13;;;;;4.0;51.0;0.0;;;;;;;
Jermari Harris;Iowa;So.;DB;13;;;;;4.0;0.0;0.0;;;;;;;
Cam'Ron Kelly;North Carolina;Jr.;DB;13;;;;;4.0;24.0;0.0;;;;;;;
Montre Miller;Kent St.;Jr.;DB;13;;;;;4.0;3.0;0.0;;;;;;;
Jaylin Thomas;Ball St.;Sr.;LB;13;;;;;4.0;54.0;0.0;;;;;;;
Russ Yeast;Kansas St.;Sr.;DB;13;;;;;4.0;11.0;0.0;;;;;;;
Darien Butler;Arizona St.;Sr.;LB;10;;;;;3.0;0.0;0.0;;;;;;;
Samy Johnson;Arkansas St.;So.;DB;10;;;;;3.0;23.0;0.0;;;;;;;
Max Melton;Rutgers;Fr.;DB;10;;;;;3.0;46.0;1.0;;;;;;;
Delarrin Turner-Yell;Oklahoma;Sr.;S;10;;;;;3.0;0.0;0.0;;;;;;;
Devin Lloyd;Utah;Jr.;LB;14;;;;;4.0;36.0;2.0;;;;;;;
Patrick McMorris;San Diego St.;Jr.;DB;14;;;;;4.0;61.0;0.0;;;;;;;
Deshawn Pace;Cincinnati;So.;LB;14;;;;;4.0;78.0;0.0;;;;;;;
Xavion Alford;Southern California;Fr.;S;11;;;;;3.0;0.0;0.0;;;;;;;
Joey Blount;Virginia;Sr.;DB;11;;;;;3.0;60.0;0.0;;;;;;;
Andrew Booth Jr.;Clemson;Jr.;CB;11;;;;;3.0;0.0;0.0;;;;;;;
Phillip Hill;UNLV;Jr.;DB;11;;;;;3.0;35.0;0.0;;;;;;;
Dy'vonne Inyang;UTEP;Sr.;DB;11;;;;;3.0;28.0;0.0;;;;;;;
Ricky Johnson;UNLV;So.;DB;11;;;;;3.0;1.0;0.0;;;;;;;
Jack Jones;Arizona St.;Sr.;DB;11;;;;;3.0;-1.0;0.0;;;;;;;
Quentin Lake;UCLA;Sr.;DB;11;;;;;3.0;23.0;0.0;;;;;;;
John Saunders Jr.;Miami (OH);So.;DB;11;;;;;3.0;66.0;1.0;;;;;;;
Cam Smith;South Carolina;So.;DB;11;;;;;3.0;10.0;0.0;;;;;;;
Collin Wilder;Wisconsin;Sr.;S;11;;;;;3.0;53.0;0.0;;;;;;;
Tyson Williams;Nevada;Sr.;DB;11;;;;;3.0;67.0;1.0;;;;;;;
BeeJay Williamson;Louisiana Tech;So.;DB;11;;;;;3.0;62.0;1.0;;;;;;;
Derion Kendrick;Georgia;Sr.;CB;15;;;;;4.0;14.0;0.0;;;;;;;
Ja'Quan McMillian;East Carolina;So.;CB;12;;;;;5.0;;;16.0;21.0;;;;;
Cortez Davis;Hawaii;Sr.;DB;13;;;;;1.0;;;18.0;19.0;;;;;
Nehemiah Shelton;San Jose St.;Sr.;DB;10;;;;;2.0;;;12.0;14.0;;;;;
Darrell Luter Jr.;South Alabama;Jr.;CB;10;;;;;4.0;;;10.0;14.0;;;;;
Samuel Womack;Toledo;Sr.;CB;13;;;;;2.0;;;16.0;18.0;;;;;
Marcus Jones;Houston;Sr.;CB;13;;;;;5.0;;;13.0;18.0;;;;;
Roger McCreary;Auburn;Sr.;DB;12;;;;;2.0;;;14.0;16.0;;;;;
Jakorian Bennett;Maryland;Sr.;DB;12;;;;;3.0;;;13.0;16.0;;;;;
Cam Smith;South Carolina;So.;DB;11;;;;;3.0;;;11.0;14.0;;;;;
Trenton Thompson;San Diego St.;Sr.;DB;14;;;;;3.0;;;14.0;17.0;;;;;
Bobby Brown, II;San Jose St.;Sr.;DB;11;;;;;0.0;;;13.0;13.0;;;;;
Roger Cray;Old Dominion;Sr.;CB;11;;;;;1.0;;;12.0;13.0;;;;;
Kyu Blu Kelly;Stanford;Jr.;CB;11;;;;;2.0;;;11.0;13.0;;;;;
Greg Rubin;Memphis;Fr.;DB;12;;;;;0.0;;;14.0;14.0;;;;;
Micah Abraham;Marshall;So.;DB;13;;;;;1.0;;;14.0;15.0;;;;;
Donte Kent;Central Mich.;Fr.;DB;13;;;;;1.0;;;14.0;15.0;;;;;
Andre Carter II;Army West Point;Jr.;LB;13;;;;;;;;;;1;14.0;3.0;88.0;15.5
Will Anderson Jr.;Alabama;So.;LB;15;;;;;;;;;;2;16.0;3.0;108.0;17.5
Aidan Hutchinson;Michigan;Sr.;DE;14;;;;;;;;;;3;12.0;4.0;73.0;14.0
Ali Fayad;Western Mich.;Sr.;DL;13;;;;;;;;;;-;11.0;4.0;79.0;13.0
Jermaine Johnson;Florida St.;Sr.;DE;12;;;;;;;;;;-;10.0;4.0;72.0;12.0
Josaiah Stewart;Coastal Carolina;Fr.;DE;13;;;;;;;;;;6;11.0;3.0;76.0;12.5
Javon Solomon;Troy;Fr.;DE;12;;;;;;;;;;7;10.0;2.0;67.0;11.0
Tristan Nichols;Nevada;Sr.;DT;11;;;;;;;;;;8;9.0;2.0;60.0;10.0
Will McDonald;Iowa St.;Jr.;DE;13;;;;;;;;;;9;10.0;3.0;75.0;11.5
Scott Patchan;Colorado St.;Sr.;DL;12;;;;;;;;;;10;9.0;3.0;79.0;10.5
Felix Anudike-Uzomah;Kansas St.;So.;DE;13;;;;;;;;;;11;11.0;0.0;56.0;11.0
Isaiah Foskey;Notre Dame;Jr.;DL;13;;;;;;;;;;-;11.0;0.0;127.0;11.0
Collin Oliver;Oklahoma St.;Fr.;DE;14;;;;;;;;;;13;11.0;1.0;76.0;11.5
Cameron Thomas;San Diego St.;Jr.;DL;14;;;;;;;;;;-;10.0;3.0;63.0;11.5
Sam Williams;Ole Miss;Sr.;DL;13;;;;;;;;;;15;10.0;1.0;58.0;10.5
Arnold Ebiketie;Penn St.;Sr.;DE;12;;;;;;;;;;16;9.0;1.0;62.0;9.5
Nick Hampton;App State;Jr.;LB;14;;;;;;;;;;17;11.0;0.0;55.0;11.0
David Ojabo;Michigan;Jr.;LB;14;;;;;;;;;;-;10.0;2.0;86.0;11.0
Yasir Abdullah;Louisville;Sr.;LB;13;;;;;;;;;;19;10.0;0.0;77.0;10.0
Jamal Hines;Toledo;Jr.;DE;13;;;;;;;;;;-;8.0;4.0;52.0;10.0
Chauncey Manac;Louisiana;Sr.;LB;14;;;;;;;;;;21;10.0;1.0;86.0;10.5
Clarence Hicks;UTSA;Sr.;LB;14;;;;;;;;;;-;9.0;3.0;66.0;10.5
Vince Sanford;Air Force;Jr.;LB;13;;;;;;;;;;23;9.0;1.0;91.0;9.5
Richard Jibunor;Troy;So.;DE;11;;;;;;;;;;24;7.0;2.0;67.0;8.0
Leo Chenal;Wisconsin;Jr.;LB;11;;;;;;;;;;-;6.0;4.0;63.0;8.0
Tyree Johnson;Texas A&M;Sr.;DL;12;;;;;;;;;;26;8.0;1.0;53.0;8.5
Demarvin Leal;Texas A&M;Jr.;DL;12;;;;;;;;;;-;7.0;3.0;44.0;8.5
Cody Roscoe;Syracuse;Sr.;DL;12;;;;;;;;;;-;6.0;5.0;45.0;8.5
Micheal Clemons;Texas A&M;Sr.;DL;10;;;;;;;;;;29;6.0;2.0;43.0;7.0
Jordan Ferguson;Middle Tenn.;Jr.;DL;13;;;;;;;;;;30;8.0;2.0;59.0;9.0
Derick Hall;Auburn;Jr.;DL;13;;;;;;;;;;-;8.0;2.0;49.0;9.0
Nick Herbig;Wisconsin;So.;LB;13;;;;;;;;;;-;8.0;2.0;57.0;9.0
Brock Martin;Oklahoma St.;Sr.;DE;13;;;;;;;;;;-;8.0;2.0;56.0;9.0
Eyioma Uwazurike;Iowa St.;Sr.;DE;13;;;;;;;;;;-;8.0;2.0;74.0;9.0
Troy Hairston;Central Mich.;Sr.;DL;13;;;;;;;;;;-;7.0;4.0;75.0;9.0
Lonnie Phelps;Miami (OH);Jr.;DL;13;;;;;;;;;;-;7.0;4.0;73.0;9.0
Cameron Goode;California;Sr.;LB;11;;;;;;;;;;37;6.0;3.0;59.0;7.5
Mika Tafua;Utah;Jr.;DE;14;;;;;;;;;;38;9.0;1.0;77.0;9.5
Isaiah Thomas;Oklahoma;Sr.;DL;12;;;;;;;;;;39;7.0;2.0;56.0;8.0
Kivon Bennett;Arkansas St.;Jr.;DL;12;;;;;;;;;;-;6.0;4.0;42.0;8.0
Zachary Carter;Florida;Sr.;DL;12;;;;;;;;;;-;6.0;4.0;44.0;8.0
Brenton Cox Jr.;Florida;Jr.;LB;13;;;;;;;;;;42;8.0;1.0;44.0;8.5
Tomon Fox;North Carolina;Sr.;LB;13;;;;;;;;;;-;7.0;3.0;59.0;8.5
Grayson Murphy;North Texas;So.;LB;13;;;;;;;;;;-;7.0;3.0;53.0;8.5
Nick Heninger;Utah St.;Sr.;DE;14;;;;;;;;;;45;9.0;0.0;61.0;9.0
Habakkuk Baldonado;Pittsburgh;Jr.;DL;14;;;;;;;;;;-;8.0;2.0;46.0;9.0
DeAngelo Malone;Western Ky.;Sr.;DE;14;;;;;;;;;;-;8.0;2.0;61.0;9.0
Luiji Vilain;Wake Forest;Sr.;DL;14;;;;;;;;;;-;8.0;2.0;56.0;9.0
Kayvon Thibodeaux;Oregon;So.;DE;11;;;;;;;;;;49;7.0;0.0;53.0;7.0
Karl Brooks;Bowling Green;Jr.;DL;12;;;;;;;;;;50;7.0;1.0;55.0;7.5
Mohamed Kamara;Colorado St.;Jr.;LB;12;;;;;;;;;;-;6.0;3.0;39.0;7.5
Joe Ozougwu;Arkansas St.;Sr.;DL;12;;;;;;;;;;-;5.0;5.0;36.0;7.5
Kameron Butler;Miami (OH);Sr.;DL;13;;;;;;;;;;53;8.0;0.0;43.0;8.0
Jonah Tavai;San Diego St.;Sr.;DL;14;;;;;;;;;;54;7.0;3.0;57.0;8.5
Phidarian Mathis;Alabama;Sr.;DL;15;;;;;;;;;;55;8.0;2.0;52.0;9.0
Viliami Fehoko;San Jose St.;Jr.;DL;12;;;;;;;;;;56;7.0;0.0;30.0;7.0
Scott Matlock;Boise St.;Jr.;DT;12;;;;;;;;;;-;7.0;0.0;42.0;7.0
Nik Bonitto;Oklahoma;Jr.;LB;12;;;;;;;;;;-;6.0;2.0;39.0;7.0
Terrel Bernard;Baylor;Sr.;LB;13;;;;;;;;;;59;7.0;1.0;53.0;7.5
Tyrus Wheat;Mississippi St.;Sr.;LB;13;;;;;;;;;;-;7.0;1.0;52.0;7.5
Jordan Jackson;Air Force;Sr.;DL;13;;;;;;;;;;-;5.0;5.0;79.0;7.5
Devin Lloyd;Utah;Jr.;LB;14;;;;;;;;;;62;8.0;0.0;60.0;8.0
Rondell Bothroyd;Wake Forest;So.;DL;14;;;;;;;;;;-;7.0;2.0;45.0;8.0
Dallas Turner;Alabama;Fr.;LB;15;;;;;;;;;;64;8.0;1.0;52.0;8.5
Marcus Valdez;Boston College;Sr.;DE;9;;;;;;;;;;65;5.0;0.0;49.0;5.0
Owen Carney, Jr.;Illinois;Sr.;LB;12;;;;;;;;;;66;6.0;1.0;40.0;6.5
Kyron Johnson;Kansas;Sr.;DE;12;;;;;;;;;;-;6.0;1.0;41.0;6.5
DeVere Levelston;SMU;Jr.;DT;12;;;;;;;;;;-;6.0;1.0;30.0;6.5
Micah McFadden;Indiana;Sr.;LB;12;;;;;;;;;;-;6.0;1.0;56.0;6.5
Joey Noble;New Mexico;Sr.;DL;12;;;;;;;;;;-;6.0;1.0;38.0;6.5
Keir Thomas;Florida St.;Sr.;DE;12;;;;;;;;;;-;6.0;1.0;26.0;6.5
Daymond Williams;Buffalo;Jr.;DT;12;;;;;;;;;;-;6.0;1.0;42.0;6.5
Jacoby Windmon;UNLV;Jr.;LB;12;;;;;;;;;;-;6.0;1.0;41.0;6.5
Jeffrey Gunter;Coastal Carolina;Sr.;DE;12;;;;;;;;;;-;5.0;3.0;59.0;6.5
Eku Leota;Auburn;Jr.;DL;13;;;;;;;;;;75;7.0;0.0;40.0;7.0
Boye Mafe;Minnesota;Sr.;DL;13;;;;;;;;;;-;7.0;0.0;41.0;7.0
Darius Muasau;Hawaii;Jr.;LB;13;;;;;;;;;;-;7.0;0.0;47.0;7.0
Dante Stills;West Virginia;Sr.;DL;13;;;;;;;;;;-;7.0;0.0;51.0;7.0
Tyree Wilson;Texas Tech;Jr.;DL;13;;;;;;;;;;-;7.0;0.0;58.0;7.0
D'Anthony Jones;Houston;Jr.;DL;13;;;;;;;;;;-;6.0;2.0;47.0;7.0
Myles Murphy;Clemson;So.;DE;13;;;;;;;;;;-;6.0;2.0;38.0;7.0
BJ Ojulari;LSU;So.;DE;13;;;;;;;;;;-;6.0;2.0;51.0;7.0
Kevin Atkins;Fresno St.;Sr.;DL;13;;;;;;;;;;-;5.0;4.0;39.0;7.0
Storey Jackson;Liberty;Sr.;LB;13;;;;;;;;;;-;5.0;4.0;49.0;7.0
Gabriel Murphy;North Texas;So.;LB;13;;;;;;;;;;-;5.0;4.0;52.0;7.0
David Perales;Fresno St.;Sr.;DE;13;;;;;;;;;;-;5.0;4.0;56.0;7.0
Jacub Panasiuk;Michigan St.;Sr.;DL;13;;;;;;;;;;-;4.0;6.0;51.0;7.0
Curtis Brooks;Cincinnati;Sr.;DL;14;;;;;;;;;;88;6.0;3.0;46.0;7.5
Joe Evans;Iowa;Jr.;DE;14;;;;;;;;;;89;6.0;2.0;47.0;7.0
Calijah Kancey;Pittsburgh;So.;DL;14;;;;;;;;;;-;6.0;2.0;58.0;7.0
Demetrius Taylor;App State;Sr.;DL;14;;;;;;;;;;-;6.0;2.0;43.0;7.0
Lukas Van Ness;Iowa;Fr.;DL;14;;;;;;;;;;-;6.0;2.0;46.0;7.0
Sam Hammond;Nevada;Sr.;DE;13;;;;;;;;;;-;6.0;1.0;67.0;6.5
Zi'Yon Hill;Louisiana;Jr.;DL;13;;;;;;;;;;-;6.0;1.0;42.0;6.5
Cedric Johnson;Ole Miss;So.;LB;13;;;;;;;;;;-;6.0;1.0;28.0;6.5
Jose Ramirez;Eastern Mich.;So.;DL;13;;;;;;;;;;-;6.0;1.0;42.0;6.5
Jadrian Taylor;UTEP;Jr.;DE;13;;;;;;;;;;-;6.0;1.0;31.0;6.5
John Wesley Whiteside;Central Mich.;Jr.;DL;13;;;;;;;;;;-;5.0;3.0;32.0;6.5
Logan Hall;Houston;Jr.;DL;13;;;;;;;;;;-;4.0;5.0;46.0;6.5
Isaiah Bagnah;Boise St.;So.;DE;12;;;;;;;;;;-;6.0;0.0;32.0;6.0
Cam'Ron Carter;Colorado St.;Sr.;LB;12;;;;;;;;;;-;6.0;0.0;33.0;6.0
Turner Coxe;SMU;Sr.;DE;12;;;;;;;;;;-;6.0;0.0;36.0;6.0
Drake Thomas;NC State;So.;LB;12;;;;;;;;;;-;6.0;0.0;20.0;6.0
Markees Watts;Charlotte;Sr.;DE;12;;;;;;;;;;-;6.0;0.0;41.0;6.0
Levi Jones;NC State;Jr.;LB;12;;;;;;;;;;-;5.0;2.0;40.0;6.0
Stefon Thompson;Syracuse;So.;LB;12;;;;;;;;;;-;5.0;2.0;34.0;6.0
J.J. Weaver;Kentucky;So.;LB;12;;;;;;;;;;-;5.0;2.0;39.0;6.0
Tre Williams;Arkansas;Sr.;DL;12;;;;;;;;;;-;5.0;2.0;26.0;6.0
Alex Wright;UAB;Jr.;DE;12;;;;;;;;;;-;4.0;4.0;46.0;6.0
Byron Young;Tennessee;Jr.;DL;11;;;;;;;;;;-;5.0;1.0;49.0;5.5
Kyon Barrs;Arizona;So.;DL;10;;;;;;;;;;-;4.0;2.0;34.0;5.0
Kyler Laing;Buffalo;So.;DL;9;;;;;;;;;;-;4.0;1.0;32.0;4.5
Gabe Hall;Baylor;So.;DL;13;;;;;;;;;;113;6.0;0.0;23.0;6.0
Arron Mosby;Fresno St.;Sr.;DE;13;;;;;;;;;;-;6.0;0.0;40.0;6.0
Jamil Muhammad;Georgia St.;So.;LB;13;;;;;;;;;;-;6.0;0.0;69.0;6.0
Sam Okuayinonu;Maryland;Sr.;DL;13;;;;;;;;;;-;6.0;0.0;55.0;6.0
Big Kat Bryant;UCF;Sr.;DL;13;;;;;;;;;;-;5.0;2.0;31.0;6.0
Chance Campbell;Ole Miss;Sr.;LB;13;;;;;;;;;;-;5.0;2.0;36.0;6.0
Anthony Goodlow;Tulsa;Jr.;DL;13;;;;;;;;;;-;5.0;2.0;33.0;6.0
Isaiah McGuire;Missouri;Jr.;DL;13;;;;;;;;;;-;5.0;2.0;36.0;6.0
Ralph Holley;Western Mich.;Sr.;DL;13;;;;;;;;;;-;4.0;4.0;42.0;6.0
Andrezj Hughes-Murray;Oregon St.;Sr.;LB;13;;;;;;;;;;-;4.0;4.0;27.0;6.0
Trenton Simpson;Clemson;So.;LB;13;;;;;;;;;;-;4.0;4.0;45.0;6.0
Damone Clark;LSU;Sr.;LB;12;;;;;;;;;;124;5.0;1.0;40.0;5.5
Haskell Garrett;Ohio St.;Sr.;DL;12;;;;;;;;;;-;5.0;1.0;31.0;5.5
Daniel Grzesiak;Nevada;Jr.;DE;12;;;;;;;;;;-;5.0;1.0;28.0;5.5
Zach McCloud;Miami (FL);Sr.;LB;12;;;;;;;;;;-;5.0;1.0;50.0;5.5
Joshua Paschal;Kentucky;Sr.;DL;12;;;;;;;;;;-;5.0;1.0;39.0;5.5
Ty Shelby;ULM;Sr.;DE;12;;;;;;;;;;-;5.0;1.0;41.0;5.5
Tuli Tuipulotu;Southern California;So.;DL;12;;;;;;;;;;-;5.0;1.0;39.0;5.5
Carson Wells;Colorado;Sr.;LB;12;;;;;;;;;;-;5.0;1.0;16.0;5.5
Perrion Winfrey;Oklahoma;Sr.;DL;12;;;;;;;;;;-;4.0;3.0;29.0;5.5
Darius Hodges;Tulane;Fr.;DE;11;;;;;;;;;;133;5.0;0.0;31.0;5.0
Drake Jackson;Southern California;Jr.;LB;11;;;;;;;;;;-;5.0;0.0;30.0;5.0
Kendy Charles;Liberty;Fr.;DT;11;;;;;;;;;;-;4.0;2.0;34.0;5.0
Tre'mon Morris-Brash;UCF;Jr.;DL;11;;;;;;;;;;-;4.0;2.0;31.0;5.0
Robert Beal Jr.;Georgia;Sr.;LB;15;;;;;;;;;;137;6.0;1.0;57.0;6.5
D'Marco Jackson;App State;Sr.;LB;14;;;;;;;;;;138;6.0;0.0;38.0;6.0
Devin Harper;Oklahoma St.;Sr.;LB;14;;;;;;;;;;-;5.0;2.0;45.0;6.0
Andre Jones;Louisiana;Jr.;DL;14;;;;;;;;;;-;4.0;4.0;26.0;6.0
Praise Amaewhule;UTEP;So.;DL;13;;;;;;;;;;141;5.0;1.0;23.0;5.5
Jeremy Banks;Tennessee;Jr.;LB;13;;;;;;;;;;-;5.0;1.0;35.0;5.5
Blake Carroll;Georgia St.;Sr.;LB;13;;;;;;;;;;-;5.0;1.0;30.0;5.5
Marcus Haynes;Old Dominion;Jr.;DE;13;;;;;;;;;;-;5.0;1.0;39.0;5.5
Jeff Pietrowski;Michigan St.;So.;DE;13;;;;;;;;;;-;5.0;1.0;38.0;5.5
Thomas Rush;Minnesota;Sr.;DL;13;;;;;;;;;;-;5.0;1.0;51.0;5.5
KD Davis;North Texas;Sr.;LB;13;;;;;;;;;;-;4.0;3.0;36.0;5.5
Eli Neal;Marshall;So.;LB;13;;;;;;;;;;-;4.0;3.0;28.0;5.5
Dom Peterson;Nevada;Sr.;DT;13;;;;;;;;;;-;4.0;3.0;30.0;5.5
Jasheen Davis;Wake Forest;Fr.;DL;13;;;;;;;;;;-;3.0;5.0;28.0;5.5
